algorithm,precision,accuracy,recall,f1
Logistic regression,0.8666666666666667,0.7142857142857143,1.0,0.8333333333333333
Logistic regression,1.0,1.0,1.0,1.0
Logistic regression,1.0,1.0,1.0,1.0
Logistic regression,1.0,1.0,1.0,1.0
Logistic regression,0.9285714285714286,1.0,0.8,0.888888888888889
SVM,0.9333333333333333,1.0,0.8,0.888888888888889
SVM,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0
SVM,0.9285714285714286,1.0,0.8,0.888888888888889
